"","subject_name","risk_diff_unadjusted","odd_ratio_log","odd_ratio_lcb","odd_ratio_ucb","cor_ms_fd","glm_converge","fixed_ratio","list_of_files"
"41","Closure",0.00100565167351604,1.00409658849005,1.00277667386492,1.00541824046575,0.0609837974942419,TRUE,0.125,"Closure-124f.csv"
"42","Closure",0.000179294208088231,1.00071849617319,0.999367006314551,1.00207181371357,0.0104170990723913,TRUE,0.125,"Closure-125f.csv"
"43","Closure",0.00636974381792816,1.04430541619078,1.04080238708283,1.04782023544553,0.268288510935238,TRUE,0.125,"Closure-126f.csv"
"44","Closure",0.00451521371449761,1.01910219196682,1.017432801422,1.02077432162599,0.232577507159314,TRUE,0.125,"Closure-127f.csv"
"45","Closure",-5.22497349539758e-06,0.999978837900327,0.999456447142862,1.00050150169831,-0.00079376155965662,TRUE,0.125,"Closure-128f.csv"
"46","Closure",0.000455928437317778,1.00422095922476,0.999829062425929,1.00863214807881,0.018839759874857,TRUE,0.125,"Closure-129f.csv"
"47","Closure",0.00665808304955181,1.06330062639375,1.0553109128047,1.07135082976117,0.162793968899629,TRUE,0.125,"Closure-12f.csv"
"48","Closure",0.000579694839798889,1.00546826569168,1.00390205586091,1.00703691900109,0.0687783448105755,TRUE,0.125,"Closure-130f.csv"
"49","Closure",0.000406566364802446,1.00369728750664,1.00302341305258,1.00437161469867,0.108493378170718,TRUE,0.125,"Closure-132f.csv"
"50","Closure",0.00124826452345908,1.01301065862097,1.0061568847987,1.01991111921378,0.0375332262319205,TRUE,0.125,"Closure-13f.csv"
"51","Closure",0.00311920167913841,1.09323807161976,1.08654810042681,1.09996923354744,0.279529488699069,TRUE,0.125,"Closure-15f.csv"
"52","Closure",0.00205763544401407,1.01181375936609,1.00975625938422,1.01387545175195,0.11345756370342,TRUE,0.125,"Closure-16f.csv"
"53","Closure",0.000165595416527737,1.00073587687952,0.999963747252246,1.00150860271258,0.0186820787346757,TRUE,0.125,"Closure-1f.csv"
"54","Closure",0.000247104649467176,1.00226010364969,1.00158433426287,1.00293632897841,0.0657715217688761,TRUE,0.125,"Closure-20f.csv"
"55","Closure",0.00402894507182255,1.04712672277167,1.04005690496357,1.05424459787701,0.134686954303926,TRUE,0.125,"Closure-21f.csv"
"56","Closure",0.00324801356500359,1.03566182627981,1.02998253999348,1.04137242794428,0.12638701378461,TRUE,0.125,"Closure-22f.csv"
"57","Closure",0.00226976161516753,1.02393110144596,1.02122174818506,1.02664764275891,0.175290121962972,TRUE,0.125,"Closure-24f.csv"
"58","Closure",0.000951965171316624,1.0090218446056,1.00708487357402,1.01096254109954,0.0920571085265337,TRUE,0.125,"Closure-25f.csv"
"59","Closure",0.00232847008975932,1.0102454478692,1.00380171272269,1.01673054748254,0.0312434057977369,TRUE,0.125,"Closure-27f.csv"
"60","Closure",0.0102351972987001,1.21004406658966,1.16559029487421,1.25619323490237,0.0991660752509159,TRUE,0.125,"Closure-28f.csv"
"61","Closure",0.00282300643870268,1.01222471848854,1.01124397148848,1.01320641665835,0.254074005818088,TRUE,0.125,"Closure-29f.csv"
"62","Closure",0.000598161283440607,1.00562503458356,1.0037898586885,1.00746356563363,0.0602956108912917,TRUE,0.125,"Closure-2f.csv"
"63","Closure",0.00132511366967853,1.00638693347377,1.00514567288366,1.00762972690424,0.10254089409924,TRUE,0.125,"Closure-30f.csv"
"64","Closure",0.00616156962923012,1.03290968154879,1.03131357902325,1.03450825426704,0.453777116206826,TRUE,0.125,"Closure-32f.csv"
"65","Closure",0.000331403899021333,1.00149175135544,0.998974805620849,1.00401503860716,0.0116115382077109,TRUE,0.125,"Closure-33f.csv"
"66","Closure",9.59663930280439e-05,1.00088170686986,0.999976275672219,1.0017879578926,0.0190902573795572,TRUE,0.125,"Closure-34f.csv"
"67","Closure",0.000720698155036944,1.00649722867311,1.00463339854378,1.00836451664365,0.0686643485304731,TRUE,0.125,"Closure-35f.csv"
"68","Closure",0.000431191697949924,1.00404902416945,1.00210518550028,1.00599663340963,0.0409010035309613,TRUE,0.125,"Closure-36f.csv"
"69","Closure",0.00018241076583555,1.0017016947281,0.99991187635721,1.00349471683111,0.0186391262802569,TRUE,0.125,"Closure-37f.csv"
"70","Closure",0.00216575736458383,1.01881820442856,1.01667910578539,1.02096180374748,0.178806213769877,TRUE,0.125,"Closure-38f.csv"
"71","Closure",0.0018776119146987,1.00935762542908,1.00757037437225,1.01114804675215,0.104429543759942,TRUE,0.125,"Closure-3f.csv"
"72","Closure",0.00374156503520863,1.01728097937479,1.01457325891148,1.01999592627548,0.127119156517514,TRUE,0.125,"Closure-42f.csv"
"73","Closure",0.00281722882464593,1.02520191573699,1.02293869892862,1.02747013983496,0.232236268652292,TRUE,0.125,"Closure-44f.csv"
"74","Closure",0.00168518686736198,1.0077740135473,1.00453134233844,1.01102715224096,0.0471443081970011,TRUE,0.125,"Closure-46f.csv"
"75","Closure",0.00111030482919096,1.02269347539442,1.02005127914604,1.02534251561346,0.46774747939753,TRUE,0.125,"Closure-47f.csv"
"76","Closure",0.00017441773438474,1.00163662890523,1.00042521412215,1.00284951059033,0.0264938062754173,TRUE,0.125,"Closure-48f.csv"
"77","Closure",5.31804688799532e-17,NA,NA,NA,NA,FALSE,0.125,"Closure-49f.csv"
"78","Closure",0.00402568254068868,1.01934670596808,1.01488681251539,1.02382619830546,0.0861251350422437,TRUE,0.125,"Closure-4f.csv"
"79","Closure",0.00100765654492018,1.00537618707535,1.00491407750934,1.00583850914236,0.238259868049451,TRUE,0.125,"Closure-50f.csv"
"80","Closure",0.00127740541592268,1.01101405758041,1.00870298180556,1.01333042834431,0.0945513303652768,TRUE,0.125,"Closure-51f.csv"
"81","Closure",7.93534117130464e-05,1.00044804091798,0.999760620198974,1.00113593429737,0.012774354959865,TRUE,0.125,"Closure-52f.csv"
"82","Closure",0.000390578111435539,1.00375396301316,0.998691192533423,1.00884239872868,0.0145260699432177,TRUE,0.125,"Closure-55f.csv"
