"","subject_name","list_of_files","cor_ms_size","sig_diff_pval_lm","risk_diff_adjusted","risk_diff_unadjusted","lrt_fit_logit","glm_converged","lrt_fit_lm","odd_ratio_log","odd_ratio_lcb","odd_ratio_ucb","odd_ratio_p_val","odds_ratio_unadjust","odds_ratio_unadjust_p_val","cor_size_FD","partial_cor_size_FD","cor_MS_FD","partial_cor_MS_FD"
"95","Closure","Closure-78f.csv",0.873071279931593,0.246835684915273,0.000261188487139347,0.000289347927831438,0.0550343102657876,TRUE,0.246743784771592,1.00328098019952,1.00266225972038,1.00390008247724,2.29857353573061e-25,1.00376494570366,8.07049881636318e-88,0.197159274983147,0.0122090433958116,0.219169932887039,0.0983968207193353
"96","Closure","Closure-79f.csv",0.831733354324857,1.60572098462827e-18,0.00142817758627317,0.00207100571899706,0.577134698986242,TRUE,1.58151399796215e-18,1.01401129528334,1.01267880776843,1.01534553609157,1.52906447403204e-95,1.01431211400233,1.06098715487467e-261,0.38558778722299,0.092390487924377,0.407271881242984,0.168992933095674
"97","Closure","Closure-7f.csv",0.835673080092782,2.97409272554037e-18,0.00834298804516918,0.0103069236181183,2.96016207448577e-33,TRUE,2.9299506177786e-18,1.03976796490184,1.03499948032914,1.04455841899778,4.35825288258171e-62,1.06506245131909,0,0.534198057616938,0.0916616026194062,0.590630656263719,0.310612703631958
"98","Closure","Closure-81f.csv",0.831398050151535,3.61832094220177e-10,0.000302279199042143,0.000713605849193611,0.398872757617199,TRUE,3.59009458351862e-10,1.0134867476053,1.01029048225574,1.01669312500913,9.36930475972037e-17,1.01461787428977,2.77063222334068e-53,0.176610592519268,0.0660287579136931,0.168928973947907,0.0403977950212287
"99","Closure","Closure-82f.csv",0.73973922405553,1.65616333599525e-61,0.000133886424705533,0.00179276729441175,1.79378653810604e-23,TRUE,1.56998140163678e-61,1.0124518878784,1.00859164133503,1.01632690898737,2.16346667103516e-10,1.0286922570638,2.10953762557418e-71,0.263168747141879,0.173145536766672,0.201489552969748,0.0104953491171165
"100","Closure","Closure-83f.csv",0.761195255014683,0.301445602911526,0.00443127902309669,0.00421808661767362,0.00621021229717722,TRUE,0.301351589427117,1.08981413123583,1.08027469003178,1.09943781114262,6.14592297920931e-82,1.08164825881281,1.76379873394037e-110,0.179845261498385,-0.0108941375296737,0.245265010161974,0.169868950140648
"101","Closure","Closure-84f.csv",0.828870663146178,4.9851767499985e-14,0.000309146919740386,0.00083175371763812,0.367973874220193,TRUE,4.92953843785377e-14,1.01789988609355,1.01416402170876,1.02164951223917,3.16738862818632e-21,1.0192846356825,9.74611274443551e-64,0.195931321585528,0.0792878853481449,0.183780178848865,0.0389693247587079
"102","Closure","Closure-85f.csv",0.687417575193353,0.38640499058358,0.00404467898548531,0.00396486655777311,0.0102076397662015,TRUE,0.386312623988073,1.07435792274195,1.06936427999857,1.07937488444999,5.25002210830758e-200,1.07208418075372,1.65937686420731e-217,0.265120921780051,-0.00913166417684314,0.394541711339937,0.303157284877838
"103","Closure","Closure-87f.csv",0.820476604647267,0.450394625812626,0.000517900397909978,0.000494567277868632,0.569488259895904,TRUE,0.450306532344479,1.00633127189432,1.00548687552937,1.00717637737366,3.78441288938156e-49,1.00650299535285,6.11596318194945e-100,0.188611285427304,-0.00795726182025316,0.235268871066695,0.143418113710872
"104","Closure","Closure-88f.csv",0.677522359435722,7.43604756621191e-32,0.00414176757745473,0.00504938376153983,2.10112899976366e-21,TRUE,7.23779615898929e-32,1.02894766660779,1.02714645828073,1.03075203354132,1.29427086085108e-223,1.03321484910337,0,0.4387369013437,0.12336072614347,0.534366652582361,0.358753973001775
"105","Closure","Closure-8f.csv",0.666222157961865,1.4293471262998e-05,0.00225695003571963,0.00272569772092723,1.75647125713233e-07,TRUE,1.42318464776744e-05,1.03682625667316,1.0321102477508,1.04156381439829,1.64494790574901e-54,1.04281064818687,9.36399929126253e-94,0.197825746190875,0.0484969568099282,0.244295083933424,0.153894466363401
"106","Closure","Closure-91f.csv",0.771579690661291,3.07478663450241e-37,0.000492563045195049,0.00142577145221469,5.5163073900394e-29,TRUE,2.9785104442078e-37,1.00678612293981,1.00520921050489,1.00836550914118,2.75566896707839e-17,1.0129408882041,6.18333374248597e-102,0.268356848796064,0.133829148643452,0.24070995794331,0.0549140262517981
"107","Closure","Closure-92f.csv",0.803936248823752,5.96845593333245e-20,0.000140014585436909,0.000468076967647894,3.00930067820226e-09,TRUE,5.87104412994733e-20,1.00582089280645,1.00428157888287,1.00736256611549,1.10740702787196e-13,1.0092818793475,4.91188143056659e-64,0.202895672704188,0.0961908384987179,0.182414101718397,0.0331399690079791
"108","Closure","Closure-93f.csv",0.812426584020948,7.99721067592776e-19,0.000123059695713189,0.000465199533838433,6.88351799808789e-10,TRUE,7.87453955190598e-19,1.00448301965477,1.00301833939705,1.00594983874502,1.87824310601547e-09,1.00806366946382,1.43158972783702e-58,0.194795765502238,0.0932079855463247,0.173895844275963,0.0273452414648971
"109","Closure","Closure-95f.csv",0.854776719880216,1.79900993435576e-24,0.000208176489433874,0.000621197287282792,0.00152431665381302,TRUE,1.76257025896207e-24,1.0056358082394,1.00458201366029,1.00669070823648,8.09948923697447e-26,1.00706928292107,1.18987790112006e-116,0.273454864152872,0.107326850891047,0.256935721986154,0.0464587456252903
"110","Closure","Closure-97f.csv",0.878996397446332,0.203510105111396,0.000347825738694353,0.000312283396362481,0.101912493424002,TRUE,0.203422199020233,1.00510668706455,1.00432538434032,1.00588859759373,1.00152823251658e-37,1.00458708470712,1.35083740543284e-81,0.180266701256186,-0.0134059989456629,0.2121891512253,0.114570222301143
"111","Closure","Closure-99f.csv",0.76935685404347,7.12989049319255e-27,0.00154291198886477,0.00258213485057128,2.90615999383612e-23,TRUE,6.97059280775225e-27,1.01212612847056,1.01052344914049,1.01373134963282,2.96183834281983e-50,1.0174946582615,1.6846621647541e-177,0.314315709405015,0.112795752125869,0.319804443825179,0.128591650971363
"112","Lang","Lang-13f.csv",0.543225796972951,0,0.0678477548763305,0.0546387728640436,0.999940102945043,FALSE,0,21676710.8394264,0,Inf,0.986424013641893,157159009.016552,0.984439297271392,0.187155367453795,-0.526309277002096,0.815411818925887,0.865405231787596
"113","Lang","Lang-15f.csv",0.585562083647584,3.2654170736781e-69,0.00600647714272923,0.00518168649179105,0.00356761395356066,TRUE,3.07428995904671e-69,1.04302616809457,1.04095691843799,1.04509953107617,0,1.04202791537063,0,0.260663718668977,-0.183806411124938,0.640550507940033,0.623451688573564
"114","Lang","Lang-17f.csv",0.532131590716365,1.61158158069382e-46,0.000195165760294679,0.00432805040814232,2.99896262707467e-33,TRUE,1.54053280509422e-46,1.05631835035581,1.02500320144663,1.08859021681456,0.000359227762127758,1.15702775701925,2.02177531692613e-23,0.189427239100701,0.159130209939495,0.104167370748847,0.00405030727538369
"115","Lang","Lang-19f.csv",0.563993650999286,1.09817267652311e-71,0.00365836409093258,0.00338064259542044,5.96280498790308e-25,TRUE,1.03808648632154e-71,1.02892099576174,1.02646612246182,1.03138174008144,5.00998065067795e-121,1.03664361502364,2.70318160252414e-251,0.384765540810031,-0.177644983045477,0.828044959632241,0.801672588006458
